"id","name","title","group","latitude","longitude","url","services","service_count","categories"
8279,"Iso-Kraaseli, Raahe ","Iso-Kraaseli","Raahe","64.68","24.4067","https://www.vierassatamat.fi/fi/kohde/iso-kraaseli-raahe-8279","Grillipaikka,Juomavesi,Keräyspiste,Luontopolku,Majoitus,Nähtävää,Opastus,Satama,Sauna,Tapahtumat,Uimaranta,WC","12","ruoka=false;nahtavyys=true;tapahtuma=true;kauppa=false;majoitus=true;satama=false;leirinta=false;lahiruoka=false;muut=false"
8039,"Iin Röyttä, Ii","Iin Röyttä","Ii","65.2717","25.2167","https://www.vierassatamat.fi/fi/kohde/iin-roytta-ii-8039","Grillipaikka,Leikkipaikka,Luontopolku,Majoitus,Nähtävää,Opastus,Satama,Sähkö,WC","9","ruoka=false;nahtavyys=true;tapahtuma=false;kauppa=false;majoitus=true;satama=false;leirinta=false;lahiruoka=false;muut=false"
8286,"Huikku, Hailuoto ","Huikku","Hailuoto","65.0383","25.065","https://www.vierassatamat.fi/fi/kohde/huikku-hailuoto-8286","Bussi,Kahvila,Keräyspiste,Kioski,Opastus,Satama,Sähkö,Veneramppi,WC","9","ruoka=true;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
9382,"Hietasaari, Johteenpooki, Oulu","Hietasaari, Johteenpooki","Oulu","65.01","25.435","https://www.vierassatamat.fi/fi/kohde/hietasaari-johteenpooki-oulu-9382","Grillipaikka,Juomavesi,Kahvila,Keräyspiste,Opastus,Sauna,Septityhjennys,Suihku,Sähkö,Veneramppi,WC","11","ruoka=true;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8164,"Hietakalla, Ii","Hietakalla","Ii","65.4967","25.15","https://www.vierassatamat.fi/fi/kohde/hietakalla-ii-8164","Grillipaikka,Satama,WC","3","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
9377,"Hiekkasärkät, Keskuskari, Kalajoki","Hiekkasärkät, Keskuskari","Kalajoki","64.235","23.7833","https://www.vierassatamat.fi/fi/kohde/hiekkasarkat-keskuskari-kalajoki-9377","Kahvila,Keräyspiste,Kioski,Nähtävää,Opastus,Sähkö,Tapahtumat,Uimaranta,Veneramppi,WC","10","ruoka=true;nahtavyys=true;tapahtuma=true;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8165,"Härkäletto, Simo","Härkäletto","Simo","65.5017","24.8433","https://www.vierassatamat.fi/fi/kohde/harkaletto-simo-8165","Grillipaikka,Satama,WC","3","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8744,"Ykskoivu, Padasjoki","Ykskoivu","Padasjoki","61.3217","25.45","https://www.vierassatamat.fi/fi/kohde/ykskoivu-padasjoki-8744","Grillipaikka,Sauna,Uimaranta,WC","4","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
9917,"Vuorissalo, Jämsän Pursiseura, Jämsä","Vuorissalo, Jämsän Pursiseura","Jämsä","61.7917","25.5317","https://www.vierassatamat.fi/fi/kohde/vuorissalo-jamsan-pursiseura-jamsa-9917","Grillipaikka,Luontopolku,Satama,Sauna,WC","5","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8766,"Vuorissalo, Jämsä","Vuorissalo","Jämsä","61.7933","25.5267","https://www.vierassatamat.fi/fi/kohde/vuorissalo-jamsa-8766","Grillipaikka,Keräyspiste,Sauna,Uimaranta,WC","5","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
9876,"Vuolenkoski, itäinen, Vuolenkoski, Iitti","Vuolenkoski, itäinen","Iitti - Vuolenkoski","61.085","26.1833","https://www.vierassatamat.fi/fi/kohde/vuolenkoski-itainen-vuolenkoski-iitti-9876","Satama,Septityhjennys,Veneramppi","3","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8808,"Viukarinsaari, Äänekoski","Viukarinsaari","Äänekoski","62.8683","26.09","https://www.vierassatamat.fi/fi/kohde/viukarinsaari-aanekoski-8808","Grillipaikka,Keräyspiste,Sauna,Uimaranta,WC","5","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8728,"Virtosaari, Asikkala","Virtosaari","Asikkala","61.28","25.7033","https://www.vierassatamat.fi/fi/kohde/virtosaari-asikkala-8728","Grillipaikka,Sauna,WC","3","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
9591,"Virtakivi, Kouvola","Virtakivi","Kouvola","60.945","26.5933","https://www.vierassatamat.fi/fi/kohde/virtakivi-kouvola-9591","Grillipaikka,Juomavesi,Kahvila,Keräyspiste,Nähtävää,Ravintola,Satama,Sauna,Septityhjennys,Sähkö,WC","11","ruoka=true;nahtavyys=true;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8760,"Vintturi, Sysmä","Vintturi","Sysmä","61.6717","25.6817","https://www.vierassatamat.fi/fi/kohde/vintturi-sysma-8760","Grillipaikka,Keräyspiste,Tapahtumat,Veneramppi,WC","5","ruoka=false;nahtavyys=false;tapahtuma=true;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
7912,"Viitasaari, vierassatama, Viitasaari","Viitasaari, vierassatama","Viitasaari","63.0733","25.865","https://www.vierassatamat.fi/fi/kohde/viitasaari-vierassatama-viitasaari-7912","Bussi,Elintarvikekioski,Juomavesi,Kahvila,Kauppa,Keräyspiste,Leikkipaikka,Opastus,Pesutupa,Polttoaine,Ravintola,Satama,Septityhjennys,Suihku,Sähkö,Veneramppi,WC","17","ruoka=true;nahtavyys=false;tapahtuma=false;kauppa=true;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
7958,"Viitasaari, Porthanin satama, Viitasaari","Viitasaari, Porthanin satama","Viitasaari","63.0733","25.855","https://www.vierassatamat.fi/fi/kohde/viitasaari-porthanin-satama-viitasaari-7958","Apteekki,Elintarvikekioski,Juomavesi,Kahvila,Kauppa,Keräyspiste,Kioski,Leikkipaikka,Luontopolku,Opastus,Ravintola,Satama,Sähkö,Uimaranta,WC","15","ruoka=true;nahtavyys=false;tapahtuma=false;kauppa=true;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
8817,"Viitasaari, Pihkuri, Viitasaari","Viitasaari, Pihkuri","Viitasaari","63.08","25.8467","https://www.vierassatamat.fi/fi/kohde/viitasaari-pihkuri-viitasaari-8817","Alko,Apteekki,Grillipaikka,Kauppa,Keräyspiste,Leikkipaikka,Lääkäri,Majoitus,Ravintola,Sauna,Sähkö,Tapahtumat,Uimaranta,Veneramppi,WC","15","ruoka=true;nahtavyys=false;tapahtuma=true;kauppa=true;majoitus=true;satama=false;leirinta=false;lahiruoka=false;muut=false"
7916,"Vesanto ","Vesanto","Vesanto","62.93","26.4217","https://www.vierassatamat.fi/fi/kohde/vesanto-7916","Apteekki,Grillipaikka,Kahvila,Kauppa,Keräyspiste,Opastus,Ravintola,Satama,Uimaranta,Veneramppi,WC","11","ruoka=true;nahtavyys=false;tapahtuma=false;kauppa=true;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
9907,"Vedenpäänlahti, Vesanto","Vedenpäänlahti","Vesanto","62.9033","26.3217","https://www.vierassatamat.fi/fi/kohde/vedenpaanlahti-vesanto-9907","Grillipaikka,Keräyspiste,Satama,Uimaranta,Veneramppi,WC","6","ruoka=false;nahtavyys=false;tapahtuma=false;kauppa=false;majoitus=false;satama=false;leirinta=false;lahiruoka=false;muut=false"
